Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,487.000000,502.200012,477.000000,500.399994,497.949860,75140
2017-12-19,504.799988,512.000000,499.000000,501.600006,499.144012,102217
2017-12-20,504.000000,534.000000,501.000000,520.400024,517.851990,172248
2017-12-21,524.000000,528.950012,519.049988,524.700012,522.130920,58045
2017-12-22,529.000000,529.000000,513.500000,516.349976,513.821777,41342
2017-12-26,520.799988,529.349976,519.000000,524.549988,521.981628,43583
2017-12-27,525.349976,535.000000,521.549988,529.349976,526.758118,70463
2017-12-28,532.000000,532.049988,520.049988,523.099976,520.538696,40093
2017-12-29,527.500000,530.000000,515.500000,519.700012,517.155396,20301
2018-01-01,520.049988,527.500000,517.000000,519.799988,517.254883,91895
2018-01-02,523.700012,525.000000,511.000000,513.500000,510.985718,19057
2018-01-03,516.250000,522.500000,512.000000,518.200012,515.662720,13288
2018-01-04,520.500000,527.900024,519.250000,522.450012,519.891907,53280
2018-01-05,524.400024,530.000000,523.049988,524.500000,521.931885,32535
2018-01-08,524.500000,528.700012,523.500000,524.599976,522.031372,17338
2018-01-09,526.000000,527.900024,521.000000,525.099976,522.528931,27317
2018-01-10,525.000000,531.000000,525.000000,529.549988,526.957153,62891
2018-01-11,532.000000,532.000000,525.000000,529.450012,526.857666,30709
2018-01-12,530.000000,533.400024,515.549988,517.250000,514.717346,72408
2018-01-15,521.700012,521.700012,517.000000,518.500000,515.961243,12921
2018-01-16,521.200012,521.200012,501.950012,508.850006,506.358490,40063
2018-01-17,510.049988,525.700012,500.000000,511.700012,509.194550,147204
2018-01-18,515.849976,519.750000,488.500000,490.450012,488.048615,45587
2018-01-19,492.799988,497.000000,486.000000,488.600006,486.207642,20004
2018-01-22,490.399994,493.299988,484.000000,485.750000,483.371613,17136
2018-01-23,489.799988,497.200012,487.000000,490.950012,488.546143,17682
2018-01-24,489.549988,494.950012,488.000000,491.049988,488.645630,106274
2018-01-25,491.049988,495.149994,486.250000,489.250000,486.854462,25648
2018-01-29,489.250000,491.000000,480.100006,482.649994,480.286774,55305
2018-01-30,478.250000,480.950012,470.000000,470.549988,468.246002,31482
2018-01-31,470.500000,479.899994,466.549988,469.100006,466.803131,19859
2018-02-01,469.850006,476.000000,453.000000,462.600006,460.334961,34292
2018-02-02,459.899994,461.000000,450.000000,453.700012,451.478546,22296
2018-02-05,447.500000,458.000000,444.000000,447.750000,445.557648,17531
2018-02-06,439.450012,459.899994,429.000000,452.299988,450.085358,26253
2018-02-07,457.399994,461.000000,446.200012,448.250000,446.055206,22767
2018-02-08,456.899994,469.000000,449.799988,464.649994,462.374908,21988
2018-02-09,455.350006,474.500000,450.500000,471.850006,469.539673,8520
2018-02-12,471.549988,475.000000,463.250000,471.500000,469.191376,9725
2018-02-14,473.750000,487.799988,470.000000,482.899994,480.535553,16203
2018-02-15,488.500000,523.000000,476.000000,478.399994,476.057587,25837
2018-02-16,481.250000,490.000000,467.100006,468.200012,465.907532,8369
2018-02-19,466.000000,470.450012,453.600006,455.500000,453.269714,10882
2018-02-20,455.500000,466.000000,455.450012,464.500000,462.225647,10782
2018-02-21,457.500000,470.899994,457.500000,460.549988,458.294983,6225
2018-02-22,457.100006,466.899994,455.100006,459.149994,456.901825,6438
2018-02-23,459.000000,469.000000,459.000000,467.250000,464.962189,7308
2018-02-26,461.049988,472.450012,461.049988,465.000000,462.723206,8579
2018-02-27,471.500000,471.500000,456.950012,458.200012,455.956512,12325
2018-02-28,459.049988,460.450012,454.000000,457.450012,455.210175,3727
2018-03-01,457.450012,461.399994,452.149994,453.700012,451.478546,10058
2018-03-05,459.000000,459.000000,444.000000,445.149994,442.970398,168478
2018-03-06,447.799988,449.750000,435.299988,436.649994,434.511993,25492
2018-03-07,435.100006,436.750000,430.000000,433.000000,430.879883,12537
2018-03-08,433.000000,439.149994,428.000000,435.049988,432.919830,13191
2018-03-09,442.000000,442.000000,418.500000,426.450012,424.361969,40518
2018-03-12,426.450012,433.000000,420.700012,423.399994,421.326874,37318
2018-03-13,422.100006,430.299988,422.100006,429.000000,426.899475,6644
2018-03-14,426.000000,430.000000,423.899994,427.149994,425.058533,10061
2018-03-15,427.049988,433.000000,425.000000,428.299988,426.202881,19067
2018-03-16,425.750000,428.549988,421.100006,422.399994,420.331787,17215
2018-03-19,425.649994,426.100006,407.850006,409.250000,407.246185,19683
2018-03-20,413.000000,413.000000,400.049988,401.899994,399.932159,23815
2018-03-21,402.250000,410.000000,396.000000,399.500000,397.543915,187123
2018-03-22,399.950012,406.000000,396.500000,398.200012,396.250275,28635
2018-03-23,394.000000,395.000000,318.600006,392.850006,390.926483,31352
2018-03-26,405.000000,405.000000,385.000000,398.100006,396.150757,29703
2018-03-27,404.600006,426.000000,398.250000,423.799988,421.724915,30433
2018-03-28,420.000000,425.000000,400.100006,410.549988,408.539795,97262
2018-04-02,414.450012,424.799988,406.100006,409.450012,407.445190,28023
2018-04-03,409.000000,412.399994,404.000000,405.799988,403.813049,52894
2018-04-04,405.799988,411.950012,400.299988,403.200012,401.225800,27655
2018-04-05,409.899994,411.000000,400.500000,402.000000,400.031677,131386
2018-04-06,404.450012,408.000000,399.000000,402.350006,400.379974,32116
2018-04-09,405.000000,405.000000,399.100006,400.049988,398.091217,26184
2018-04-10,403.000000,405.000000,400.000000,402.649994,400.678467,9102
2018-04-11,406.850006,408.000000,395.000000,399.500000,397.543915,13742
2018-04-12,400.000000,401.399994,395.950012,397.450012,395.503967,5928
2018-04-13,400.750000,411.700012,397.250000,404.450012,402.469696,20025
2018-04-16,400.000000,405.000000,399.950012,400.700012,398.738037,5193
2018-04-17,400.100006,402.950012,398.000000,399.600006,397.643433,8020
2018-04-18,402.000000,404.000000,396.299988,397.549988,395.603455,15436
2018-04-19,401.000000,404.799988,396.149994,399.750000,397.792694,4936
2018-04-20,400.049988,403.899994,395.850006,396.950012,395.006409,5035
2018-04-23,396.950012,404.200012,394.549988,400.450012,398.489258,6975
2018-04-24,401.750000,404.700012,396.100006,401.299988,399.335083,6420
2018-04-25,401.000000,405.000000,399.000000,403.000000,401.026764,16238
2018-04-26,403.850006,409.500000,400.500000,406.049988,404.061829,12577
2018-04-27,407.899994,411.450012,396.000000,401.600006,399.633636,11554
2018-04-30,402.450012,402.549988,396.250000,398.500000,396.548798,4520
2018-05-02,396.000000,408.700012,396.000000,399.299988,397.344879,64959
2018-05-03,399.299988,401.450012,395.000000,399.450012,397.494171,9661
2018-05-04,398.799988,398.799988,391.549988,397.450012,395.503967,5971
2018-05-07,390.100006,397.049988,386.000000,392.899994,390.976227,5178
2018-05-08,390.500000,401.000000,390.500000,394.049988,392.120575,9186
2018-05-09,394.250000,396.000000,391.100006,391.799988,389.881592,4736
2018-05-10,392.049988,393.549988,388.149994,389.799988,387.891388,3872
2018-05-11,386.149994,390.000000,380.000000,381.750000,379.880829,13896
2018-05-14,380.600006,385.000000,370.700012,371.399994,369.581482,6874
2018-05-15,372.700012,375.500000,333.000000,338.549988,336.892334,124695
2018-05-16,341.450012,364.899994,338.600006,350.350006,348.634583,52497
2018-05-17,346.000000,356.899994,345.000000,353.950012,352.216949,15314
2018-05-18,351.700012,389.000000,350.950012,372.149994,370.327820,51470
2018-05-21,371.350006,373.450012,357.049988,358.600006,356.844177,7828
2018-05-22,362.000000,365.000000,352.200012,362.750000,360.973846,5068
2018-05-23,362.000000,370.000000,355.049988,361.299988,359.530945,14137
2018-05-24,369.899994,369.899994,358.500000,362.750000,360.973846,5056
2018-05-25,364.450012,385.000000,364.000000,383.649994,381.771515,15225
2018-05-28,376.000000,387.899994,372.000000,374.600006,372.765839,25348
2018-05-29,375.000000,384.000000,371.000000,380.700012,378.835968,34777
2018-05-30,379.600006,390.000000,375.000000,385.649994,383.761719,20492
2018-05-31,397.000000,398.899994,380.000000,380.700012,378.835968,30570
2018-06-01,384.000000,386.049988,367.549988,368.450012,366.645966,14727
2018-06-04,369.049988,378.000000,361.000000,365.899994,364.108429,15382
2018-06-05,365.899994,371.000000,345.000000,369.100006,367.292755,23890
2018-06-06,362.149994,369.500000,358.000000,360.250000,358.486084,71106
2018-06-07,361.549988,368.799988,361.000000,365.299988,363.511353,16588
2018-06-08,365.850006,377.000000,365.850006,374.950012,373.114136,12487
2018-06-11,374.399994,380.000000,372.200012,375.700012,373.860443,11044
2018-06-12,381.450012,381.450012,373.549988,378.850006,376.995026,11058
2018-06-13,379.450012,380.450012,374.000000,378.850006,376.995026,6434
2018-06-14,378.350006,385.950012,375.049988,381.600006,379.731567,15949
2018-06-15,381.500000,386.950012,379.950012,381.450012,379.582306,11697
2018-06-18,382.799988,387.000000,376.549988,377.500000,375.651642,9903
